"Timestamp","Which season of Orange is the New Black was your favourite?","Who are you most excited to see back?"
"2017/06/08 11:32:03 pm CET","Season 1","Nicky"
"2017/06/08 11:32:09 pm CET","Season 1","Red"
"2017/06/08 11:36:17 pm CET","Season 2","Taystee"
"2017/06/08 11:36:41 pm CET","Season 1","Nicky"
"2017/06/08 11:36:52 pm CET","Season 1","Nicky"
"2017/06/08 11:36:55 pm CET","Season 1","Taystee"
"2017/06/08 11:37:07 pm CET","Season 2","Crazy Eyes"
"2017/06/08 11:37:52 pm CET","Season 3","Vause"
"2017/06/08 11:40:50 pm CET","Season 1","Morello"
"2017/06/08 11:42:06 pm CET","Season 2","Taystee"
"2017/06/08 11:42:22 pm CET","Season 4","Taystee"
"2017/06/08 11:45:04 pm CET","Season 4","Taystee"
"2017/06/08 11:47:23 pm CET","Season 3","Daya Diaz"
"2017/06/08 11:48:16 pm CET","Season 4","Crazy Eyes"
"2017/06/08 11:49:50 pm CET","Season 2","Nicky"
"2017/06/08 11:50:02 pm CET","Season 1","Nicky"
"2017/06/08 11:53:10 pm CET","Season 4","Nicky"
"2017/06/08 11:55:18 pm CET","Season 3","Taystee"
"2017/06/09 12:02:33 am CET","Season 4","Nicky"
"2017/06/09 12:02:55 am CET","Season 1","Nicky"
"2017/06/09 12:05:56 am CET","Season 2","Red"
"2017/06/09 12:07:57 am CET","Season 1","Red"
"2017/06/09 12:11:48 am CET","Season 1","Nicky"
"2017/06/09 12:12:54 am CET","Season 2","Piper"
"2017/06/09 12:13:36 am CET","Season 2","Red"
"2017/06/09 12:16:44 am CET","Season 2","Red"
"2017/06/09 12:18:41 am CET","Season 2","Nicky"
"2017/06/09 12:22:53 am CET","Season 2","Nicky"
"2017/06/09 12:24:41 am CET","Season 3","Taystee"
"2017/06/09 12:26:21 am CET","Season 4","Vause"
"2017/06/09 12:27:35 am CET","Season 4","Piper"
"2017/06/09 12:28:13 am CET","Season 4","Red"
"2017/06/09 12:29:07 am CET","Season 2","Nicky"
"2017/06/09 12:32:39 am CET","Season 2",""
"2017/06/09 12:33:07 am CET","Season 1","Piper"
"2017/06/09 12:35:07 am CET","Season 1","Crazy Eyes"
"2017/06/09 12:37:40 am CET","Season 4","Nicky"
"2017/06/09 12:39:45 am CET","Season 3","Taystee"
"2017/06/09 12:40:57 am CET","Season 4","Burset"
"2017/06/09 12:43:31 am CET","Season 1","Crazy Eyes"
"2017/06/09 12:50:52 am CET","Season 2","Nicky"
"2017/06/09 12:54:10 am CET","Season 2","Taystee"
"2017/06/09 12:55:46 am CET","Season 1","Red"
"2017/06/09 12:57:19 am CET","Season 1","Piper"
"2017/06/09 12:59:34 am CET","Season 3","Vause"
"2017/06/09 12:59:51 am CET","Season 4","Red"
"2017/06/09 1:00:44 am CET","Season 1","Crazy Eyes"
"2017/06/09 1:03:02 am CET","Season 2","Morello"
"2017/06/09 1:03:05 am CET","Season 2","Taystee"
"2017/06/09 1:03:33 am CET","Season 4","Nicky"
"2017/06/09 1:04:47 am CET","Season 4","Nicky"
"2017/06/09 1:07:34 am CET","Season 1","Red"
"2017/06/09 1:09:04 am CET","Season 3","Red"
"2017/06/09 1:09:42 am CET","Season 4","Nicky"
